TimePST:date::HH:mm a,TemperatureC:real,DewPointC:real,Humidity:real,SeaLevelPressurehPa:real,VisibilityKm:real,WindDirection:string,WindSpeedKmH:string,GustSpeedKmH:string,Precipitationmm:string,Events:string,Conditions:string,WindDirDegrees:real,DateUTC:date::yyyy-MM-dd HH:mm:ss
# http://www.wunderground.com/history/airport/KSFO/2014/2/1/DailyHistory.html?req_city=San%20Francisco%20International&req_state=CA&req_statename=California&reqdb.zip=94128&reqdb.magic=6&reqdb.wmo=99999
10:56 PM,10.0,7.2,83,1015.5,14.5,WNW,9.3,-,N/A,,Partly Cloudy,290,2014-01-04 06:56:00
11:56 PM,10.6,7.8,83,1015.4,16.1,WNW,18.5,-,N/A,,Clear,290,2014-01-04 07:56:00
12:56 AM,10.6,7.8,83,1015.6,16.1,WNW,16.7,-,N/A,,Partly Cloudy,290,2014-01-04 08:56:00
1:16 AM,10.0,8.0,87,1015.8,16.1,WNW,14.8,-,N/A,,Partly Cloudy,290,2014-01-04 09:16:00
1:56 AM,8.3,6.1,86,1015.5,16.1,SSW,5.6,-,N/A,,Clear,210,2014-01-04 09:56:00
2:52 AM,9.0,7.0,87,1015.5,12.9,WNW,5.6,-,N/A,,Partly Cloudy,300,2014-01-04 10:52:00
2:56 AM,8.9,6.7,86,1015.6,12.9,WNW,5.6,-,N/A,,Partly Cloudy,290,2014-01-04 10:56:00
3:35 AM,8.0,6.0,87,1015.8,2.4,West,7.4,-,N/A,,Partly Cloudy,270,2014-01-04 11:35:00
3:42 AM,8.0,6.0,87,1015.8,0.8,West,9.3,-,N/A,Fog,Fog,270,2014-01-04 11:42:00
3:56 AM,7.8,6.1,89,1015.7,0.8,West,9.3,-,N/A,Fog,Fog,260,2014-01-04 11:56:00
4:10 AM,7.0,6.0,93,1015.5,3.2,SW,5.6,-,N/A,,Scattered Clouds,220,2014-01-04 12:10:00
4:17 AM,7.0,6.0,93,1015.5,8.0,WSW,5.6,-,N/A,,Scattered Clouds,240,2014-01-04 12:17:00
4:56 AM,7.2,5.0,86,1015.5,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-04 12:56:00
5:47 AM,8.0,6.0,87,1015.8,-9999.0,NNW,7.4,-,N/A,,Scattered Clouds,340,2014-01-04 13:47:00
5:56 AM,7.8,6.1,89,1015.6,16.1,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-04 13:56:00
6:18 AM,9.0,7.0,87,1016.1,1.2,ENE,5.6,-,N/A,,Mostly Cloudy,60,2014-01-04 14:18:00
6:36 AM,9.0,8.0,93,1016.1,0.4,Calm,Calm,-,N/A,Fog,Fog,0,2014-01-04 14:36:00
6:52 AM,9.0,7.0,87,1016.1,0.1,Calm,Calm,-,N/A,Fog,Fog,0,2014-01-04 14:52:00
6:56 AM,8.3,7.2,93,1016.2,0.1,Calm,Calm,-,N/A,Fog,Fog,0,2014-01-04 14:56:00
7:40 AM,8.0,7.0,93,1016.5,0.2,SSW,5.6,-,N/A,Fog,Fog,200,2014-01-04 15:40:00
7:56 AM,7.8,6.7,93,1016.6,0.2,South,5.6,-,N/A,Fog,Fog,190,2014-01-04 15:56:00
8:56 AM,7.2,6.1,93,1017.2,0.4,Calm,Calm,-,N/A,Fog,Fog,0,2014-01-04 16:56:00
9:07 AM,7.0,6.0,93,1017.2,1.2,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-04 17:07:00
9:25 AM,8.0,7.0,93,1017.5,1.2,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-04 17:25:00
9:56 AM,8.3,6.7,90,1018.2,1.2,NE,5.6,-,N/A,,Scattered Clouds,50,2014-01-04 17:56:00
9:58 AM,8.0,7.0,93,1018.2,1.2,ENE,5.6,-,N/A,,Scattered Clouds,60,2014-01-04 17:58:00
10:10 AM,8.0,7.0,93,1018.2,1.2,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-04 18:10:00
10:23 AM,8.0,7.0,93,1018.2,1.6,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-04 18:23:00
10:44 AM,9.0,7.0,87,1017.8,4.8,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-04 18:44:00
10:56 AM,9.4,7.2,86,1017.8,12.9,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-04 18:56:00
11:56 AM,15.0,5.6,53,1016.9,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-04 19:56:00
12:56 PM,15.0,5.6,53,1016.1,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-04 20:56:00
1:56 PM,16.1,4.4,46,1015.8,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-04 21:56:00
2:56 PM,17.8,3.9,40,1015.8,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-04 22:56:00
3:56 PM,16.7,5.0,46,1015.8,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-04 23:56:00
4:56 PM,15.0,3.3,46,1016.0,16.1,ESE,5.6,-,N/A,,Clear,110,2014-01-05 00:56:00
5:56 PM,16.1,1.1,36,1016.1,16.1,SSE,5.6,-,N/A,,Clear,160,2014-01-05 01:56:00
6:56 PM,14.4,1.7,42,1016.5,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-05 02:56:00
7:56 PM,12.8,2.8,51,1016.9,16.1,West,5.6,-,N/A,,Partly Cloudy,280,2014-01-05 03:56:00
8:56 PM,11.7,3.9,59,1017.4,16.1,NNW,7.4,-,N/A,,Partly Cloudy,330,2014-01-05 04:56:00
9:56 PM,10.0,3.3,63,1017.9,16.1,NW,5.6,-,N/A,,Partly Cloudy,320,2014-01-05 05:56:00
